p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.6556534749033744e-13,0.4320466042325153,0.579,0.315,9.717036064671447e-9,6,NDUFA1
2.673417043297377e-13,0.38833145659649604,0.46,0.254,9.782032961425102e-9,6,PDIA4
2.786659791809143e-13,0.6183019778957121,0.279,0.137,1.0196388178229654e-8,6,COMMD10
2.970956813896919e-13,0.4593356250521696,0.657,0.359,1.0870730982048826e-8,6,PSMB3
2.97761815204467e-13,0.4414556591250098,0.368,0.195,1.0895104818331447e-8,6,UBE2J1
3.2529534621517087e-13,0.35808476666622224,0.394,0.197,1.1902556718013102e-8,6,FAM195B
3.368416656712725e-13,0.5500915279212801,0.272,0.13,1.232503654691186e-8,6,COMMD7
3.377298440909726e-13,0.46110754344520527,0.467,0.25,1.2357534995288688e-8,6,ATP5J
3.5083047578154947e-13,0.48290451732877143,0.391,0.207,1.2836887108846895e-8,6,MBOAT1
3.5837999234900053e-13,0.37264342496354846,0.485,0.259,1.311312392004993e-8,6,PSMD7
4.2432724001173483e-13,0.48138409126327986,0.872,0.562,1.5526133712029377e-8,6,HLA-DPB1
4.509725926027386e-13,0.4410668672620136,0.309,0.155,1.6501087163334205e-8,6,ECHDC1
4.5208281562736374e-13,0.3932379144233942,0.577,0.338,1.654171022380524e-8,6,OSTF1
4.640732242933154e-13,0.5556731615901059,0.272,0.13,1.6980439276892412e-8,6,TIMM13
4.671818487622659e-13,0.4717392858463745,0.403,0.216,1.7094183846211308e-8,6,DCTN1
4.702904732312163e-13,0.4355330014492963,0.366,0.187,1.7207928415530205e-8,6,PRELID1P1
4.711786516509164e-13,0.5180017510305374,0.316,0.156,1.7240426863907032e-8,6,HSD17B10
4.873879078104437e-13,0.44600368107471844,0.531,0.286,1.7833523546784136e-8,6,C11orf31
5.053735208093713e-13,0.4391613008149713,0.336,0.169,1.8491617126414894e-8,6,GLRX3
5.082601006733967e-13,0.45053839571898624,0.27,0.133,1.8597237083639584e-8,6,YIPF1
5.124789481669723e-13,0.2834760370525843,0.565,0.338,1.8751604713429515e-8,6,DDX21
5.238032230181489e-13,0.3965394982842706,0.551,0.296,1.9165959930234067e-8,6,PRNP
5.364597654988756e-13,0.3288775696461065,0.62,0.366,1.962906281960386e-8,6,NBPF16
5.557776461273534e-13,0.4001121354599153,0.666,0.373,2.033590407179986e-8,6,M6PR
5.644373857194296e-13,0.6332578850422358,0.252,0.119,2.065276394347393e-8,6,MRPS18C
6.574740751830177e-13,0.42626288529595086,0.412,0.211,2.4056976410946618e-8,6,NDUFB7
6.759037773917953e-13,0.5711435210588864,0.277,0.134,2.473131921476579e-8,6,ATP6V1H
6.801226248853709e-13,0.32301747219466637,0.378,0.189,2.488568684455572e-8,6,APEX1
7.085443343157749e-13,0.5254919797351825,0.332,0.17,2.5925637192614204e-8,6,CAMTA1
7.327471962526033e-13,0.44870108488082205,0.364,0.189,2.6811219910882755e-8,6,HYPK
7.542855229303314e-13,0.36520924439757263,0.412,0.231,2.7599307284020824e-8,6,RDH11
7.716050021144838e-13,0.4260669382470271,0.588,0.316,2.8233027027368962e-8,6,SEC61B
7.955858194463872e-13,0.4063177499811216,0.291,0.141,2.9110485133543307e-8,6,COA4
8.317790900491673e-13,0.4135969244856159,0.259,0.123,3.043479690489903e-8,6,NSUN4
8.471001677889944e-13,0.5956390100462738,0.261,0.125,3.0995395139399307e-8,6,TMUB2
1.0373923942097463e-12,0.4222410791642124,0.549,0.307,3.7958187704134616e-8,6,CORO7
1.0609291223317996e-12,0.42079502244643585,0.547,0.303,3.881939658612055e-8,6,ATP5F1
1.1004530620084552e-12,0.4456887776013039,0.611,0.347,4.0265577538889374e-8,6,CTSC
1.1042278202921807e-12,0.43899021234572866,0.439,0.231,4.040369594449089e-8,6,SEC61G
1.170175067954915e-12,0.48615748108913437,0.286,0.143,4.281670573647034e-8,6,VMA21
1.2672085603071537e-12,0.3510658298418322,0.398,0.206,4.636716122163875e-8,6,NELFE
1.2752021660844548e-12,0.4476255507841132,0.382,0.204,4.66596472570302e-8,6,MTCH1
1.5161205624281138e-12,0.4209944842135318,0.597,0.323,5.547485137924468e-8,6,PRDX5
1.5343282200319663e-12,0.3670750953395927,0.469,0.247,5.614106957096965e-8,6,NDUFB9
1.6264767310758543e-12,0.3865451657591352,0.712,0.421,5.951278359006551e-8,6,GDI2
1.8338663920758336e-12,0.5314881471467425,0.284,0.138,6.710117128605475e-8,6,ALKBH7
1.9744206269933784e-12,0.3639906924582639,0.343,0.184,7.224405074168772e-8,6,GPATCH2L
2.048583525038339e-12,0.46130444428101314,0.281,0.145,7.495767118115282e-8,6,ZBTB43
2.1118662374419728e-12,0.5422940634856234,0.3,0.156,7.727318562800178e-8,6,VPS37A
2.113642594281373e-12,0.45675618347895086,0.794,0.449,7.733818252475544e-8,6,SYNGR2
2.185363001672158e-12,0.3225194568185821,0.503,0.281,7.996243223118427e-8,6,ARHGAP1
2.4729107650500737e-12,0.4296509979432608,0.76,0.412,9.04838048931822e-8,6,ATP6V0E1
2.4733548542599237e-12,0.4959095463930714,0.693,0.408,9.050005411737061e-8,6,ISG15
2.5199842212941803e-12,0.3258979136437331,0.613,0.358,9.220622265715406e-8,6,ETF1
